Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user506@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user507@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user507@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user507@debugorg.com,,Failed,no such element: Unable to locate element: {"method":"xpath","selector":"//*[@id='MailboxSize']/input[contains(@type,'text')]"}
  (Session info: chrome=80.0.3987.116)
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,existing2@debugorg.com,SubOU: False; IsNewUser: False; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing2@debugorg.com,,Failed,FirstName;DisplayName
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing2@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user_512@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user_512@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user_512@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user.513@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user.513@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user.513@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user514@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Module,User Role,Test Name,Test Description,OU Name,Object Name,Email,Test Parameters,Test Status,Message Details
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user500@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user501@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user501@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user501@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user502@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user502@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user502@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user503@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user503@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user503@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user504@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user504@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user504@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user505@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user505@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user505@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user506@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user506@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user506@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user507@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user507@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user507@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user508@debugorg.com,SubOU: False; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user508@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user508@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user509@debugorg.com,SubOU: False; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user509@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user509@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user510@debugorg.com,SubOU: False; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user510@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user510@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user511@debugorg.com,SubOU: False; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user511@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user511@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,existing1@debugorg.com,SubOU: False; IsNewUser: False; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing1@debugorg.com,,Failed,FirstName;LastName;DisplayName
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing1@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,existing2@debugorg.com,SubOU: False; IsNewUser: False; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing2@debugorg.com,,Failed,FirstName;LastName;DisplayName
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existing2@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user_512@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user_512@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user_512@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user.513@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user.513@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user.513@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user514@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user514@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user514@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,existingsubouuser1@debugorg.com,SubOU: True; IsNewUser: False; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existingsubouuser1@debugorg.com,,Failed,FirstName;DisplayName
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existingsubouuser1@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,existingsubouuser2@debugorg.com,SubOU: True; IsNewUser: False; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existingsubouuser2@debugorg.com,,Failed,FirstName;DisplayName
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,existingsubouuser2@debugorg.com,,Passed,
Exchange,Host,Update Mailbox General Properties,Test to verify if General Properties are being updated properly or not,debugorg.com,Mailbox,user500@debugorg.com,Refer to CSV File,Passed,User general profile settings updated successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox update are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,Host,Update Mailbox General Properties,Test to verify if General Properties are being updated properly or not,debugorg.com,Mailbox,user500@debugorg.com,Refer to CSV File,Passed,User mailbox advanced properties updated successfully.
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox update are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,Host,Update Mailbox Retention Policy,Test to check if Retention Policy is being set properly or not,debugorg.com,Mailbox,user500@debugorg.com,Retain Deleted Items For: 60,Passed,User mailbox retention policy updated successfully.
Exchange,Host,Verify Update Mailbox Retention Policy,Test to check if the Retention Policy has been set properly or not,debugorg.com,Mailbox,user500@debugorg.com,,Passed,Passed
Exchange,Host,Add Email Address,Test to check if email addresses are added as additional aliases or not,debugorg.com,Mailbox,user500@debugorg.com,Email: user5000@debugorg.com,Passed,Mailbox email address added successfully.
Exchange,Host,Verify Addition of new email alias,Test to check if the email address has been assigned correctly or not,debugorg.com,Mailbox,user500@debugorg.com,,Passed,Passed
Module,User Role,Test Name,Test Description,OU Name,Object Name,Email,Test Parameters,Test Status,Message Details
